From	To	Species	Gene Name
NP_249294	9946476	Pseudomonas aeruginosa PAO1	ABC transporter ATP-binding protein(PA0603)
NP_251099	9948453	Pseudomonas aeruginosa PAO1	ABC transporter permease(PA2409)
NP_251099	15597605	Pseudomonas aeruginosa PAO1	ABC transporter permease(PA2409)
NP_249293	15595799	Pseudomonas aeruginosa PAO1	ABC transporter(PA0602)
NP_249293	9946475	Pseudomonas aeruginosa PAO1	ABC transporter(PA0602)
NP_249296	9946479	Pseudomonas aeruginosa PAO1	ABC transporter permease(PA0605)
NP_249296	15595802	Pseudomonas aeruginosa PAO1	ABC transporter permease(PA0605)
NP_252181	15598687	Pseudomonas aeruginosa PAO1	electron transport complex subunit C(PA3491)
NP_252181	9949637	Pseudomonas aeruginosa PAO1	electron transport complex subunit C(PA3491)
NP_252181	17369004	Pseudomonas aeruginosa PAO1	electron transport complex subunit C(PA3491)
NP_249295	15595801	Pseudomonas aeruginosa PAO1	ABC transporter(PA0604)
NP_249295	9946477	Pseudomonas aeruginosa PAO1	ABC transporter(PA0604)
NP_252182	15598688	Pseudomonas aeruginosa PAO1	electron transport complex subunit D(PA3492)
NP_252182	9949638	Pseudomonas aeruginosa PAO1	electron transport complex subunit D(PA3492)
NP_252182	17369002	Pseudomonas aeruginosa PAO1	electron transport complex subunit D(PA3492)
NP_252183	15598689	Pseudomonas aeruginosa PAO1	electron transport complex subunit G(PA3493)
NP_252183	9949639	Pseudomonas aeruginosa PAO1	electron transport complex subunit G(PA3493)
NP_252183	17369000	Pseudomonas aeruginosa PAO1	electron transport complex subunit G(PA3493)
NP_253151	9950697	Pseudomonas aeruginosa PAO1	ABC transporter ATP-binding protein(PA4461)
NP_253151	15599657	Pseudomonas aeruginosa PAO1	ABC transporter ATP-binding protein(PA4461)
NP_254087	9951725	Pseudomonas aeruginosa PAO1	electron transfer flavoprotein subunit alpha(PA5400)
NP_254087	554753024	Pseudomonas aeruginosa PAO1	electron transfer flavoprotein subunit alpha(PA5400)
NP_252184	17368997	Pseudomonas aeruginosa PAO1	electron transport complex subunit E(PA3494)
NP_252184	9949640	Pseudomonas aeruginosa PAO1	electron transport complex subunit E(PA3494)
NP_252184	15598690	Pseudomonas aeruginosa PAO1	electron transport complex subunit E(PA3494)
NP_249297	9946480	Pseudomonas aeruginosa PAO1	ABC transporter permease(PA0606)
NP_249297	15595803	Pseudomonas aeruginosa PAO1	ABC transporter permease(PA0606)
NP_252580	9950072	Pseudomonas aeruginosa PAO1	ABC transporter ATP-binding protein(PA3891)
NP_252580	15599086	Pseudomonas aeruginosa PAO1	ABC transporter ATP-binding protein(PA3891)
NP_249212	15595718	Pseudomonas aeruginosa PAO1	cytochrome C oxidase subunit(PA0521)
NP_249212	9946387	Pseudomonas aeruginosa PAO1	cytochrome C oxidase subunit(PA0521)
NP_248763	9945897	Pseudomonas aeruginosa PAO1	ABC transporter ATP-binding protein(PA0073)
NP_248763	15595271	Pseudomonas aeruginosa PAO1	ABC transporter ATP-binding protein(PA0073)
NP_252180	15598686	Pseudomonas aeruginosa PAO1	electron transport complex subunit B(PA3490)
NP_252180	9949636	Pseudomonas aeruginosa PAO1	electron transport complex subunit B(PA3490)
NP_252180	17369007	Pseudomonas aeruginosa PAO1	electron transport complex subunit B(PA3490)
NP_253709	15600215	Pseudomonas aeruginosa PAO1	potassium efflux protein KefA(PA5022)
NP_253709	9951310	Pseudomonas aeruginosa PAO1	potassium efflux protein KefA(PA5022)
NP_250956	15597462	Pseudomonas aeruginosa PAO1	cytochrome C(PA2266)
NP_250956	9948294	Pseudomonas aeruginosa PAO1	cytochrome C(PA2266)
NP_251922	9949354	Pseudomonas aeruginosa PAO1	DNA polymerase III subunit epsilon(PA3232)
NP_251922	15598428	Pseudomonas aeruginosa PAO1	DNA polymerase III subunit epsilon(PA3232)
NP_249609	15596115	Pseudomonas aeruginosa PAO1	cytochrome b561(PA0918)
NP_249609	9946821	Pseudomonas aeruginosa PAO1	cytochrome b561(PA0918)
NP_253309	15599815	Pseudomonas aeruginosa PAO1	cytochrome C(PA4619)
NP_253309	9950871	Pseudomonas aeruginosa PAO1	cytochrome C(PA4619)
NP_251643	15598149	Pseudomonas aeruginosa PAO1	electron transfer flavoprotein-ubiquinone oxidoreductase(PA2953)
NP_251643	76364185	Pseudomonas aeruginosa PAO1	electron transfer flavoprotein-ubiquinone oxidoreductase(PA2953)
NP_251643	9949050	Pseudomonas aeruginosa PAO1	electron transfer flavoprotein-ubiquinone oxidoreductase(PA2953)
NP_251643	259666648	Pseudomonas aeruginosa PAO1	electron transfer flavoprotein-ubiquinone oxidoreductase(PA2953)
NP_251643	300593129	Pseudomonas aeruginosa PAO1	electron transfer flavoprotein-ubiquinone oxidoreductase(PA2953)
NP_252578	9950070	Pseudomonas aeruginosa PAO1	ABC transporter(PA3889)
NP_252578	15599084	Pseudomonas aeruginosa PAO1	ABC transporter(PA3889)
NP_251368	9948749	Pseudomonas aeruginosa PAO1	ABC transporter permease(PA2678)
